timestamp,open,high,low,close,volume
2026-06-29 09:15:00,22500.0,22501.34,22499.66,22500.4,6386
2026-06-29 09:16:00,22500.4,22501.63,22499.48,22500.91,6014
2026-06-29 09:17:00,22500.91,22504.19,22500.03,22503.57,2608
2026-06-29 09:18:00,22503.57,22504.26,22502.5,22502.55,7251
2026-06-29 09:19:00,22502.55,22506.1,22502.09,22505.1,1676
2026-06-29 09:20:00,22505.1,22506.14,22504.78,22505.09,1109
2026-06-29 09:21:00,22505.09,22506.61,22504.54,22506.57,7647
2026-06-29 09:22:00,22506.57,22507.84,22505.94,22507.47,1265
2026-06-29 09:23:00,22507.47,22508.87,22507.16,22508.75,1327
2026-06-29 09:24:00,22508.75,22510.21,22508.51,22509.35,10811
2026-06-29 09:25:00,22509.35,22509.38,22506.35,22506.83,12446
2026-06-29 09:26:00,22506.83,22507.64,22503.9,22504.43,7409
2026-06-29 09:27:00,22504.43,22505.36,22503.89,22504.64,6454
2026-06-29 09:28:00,22504.64,22507.68,22503.06,22506.73,2506
2026-06-29 09:29:00,22506.73,22507.68,22504.45,22505.91,10182
2026-06-29 09:30:00,22505.91,22506.94,22503.22,22503.82,1707
2026-06-29 09:31:00,22503.82,22504.48,22502.67,22503.95,12808
2026-06-29 09:32:00,22503.95,22504.76,22501.98,22502.1,14087
2026-06-29 09:33:00,22502.1,22502.44,22499.74,22500.31,9745
2026-06-29 09:34:00,22500.31,22500.71,22499.2,22500.09,3077
2026-06-29 09:35:00,22500.09,22500.97,22499.3,22500.91,3581
2026-06-29 09:36:00,22500.91,22501.58,22498.97,22499.52,1428
2026-06-29 09:37:00,22499.52,22499.83,22498.84,22499.61,1452
2026-06-29 09:38:00,22499.61,22501.46,22498.66,22501.1,5913
2026-06-29 09:39:00,22501.1,22503.82,22500.55,22503.67,2036
2026-06-29 09:40:00,22503.67,22503.87,22503.19,22503.27,13995
2026-06-29 09:41:00,22503.27,22505.66,22503.0,22504.77,3016
2026-06-29 09:42:00,22504.77,22505.59,22502.6,22504.0,1398
2026-06-29 09:43:00,22504.0,22504.21,22503.88,22504.06,6623
2026-06-29 09:44:00,22504.06,22504.94,22501.95,22502.9,2268
2026-06-29 09:45:00,22502.9,22503.38,22502.62,22502.86,15662
2026-06-29 09:46:00,22502.86,22502.95,22501.72,22502.11,12464
2026-06-29 09:47:00,22502.11,22502.84,22501.81,22502.67,11625
2026-06-29 09:48:00,22502.67,22504.1,22502.42,22503.13,5981
2026-06-29 09:49:00,22503.13,22504.5,22502.15,22504.16,7556
2026-06-29 09:50:00,22504.16,22506.08,22503.9,22505.26,3538
2026-06-29 09:51:00,22505.26,22505.67,22503.36,22504.5,6476
2026-06-29 09:52:00,22504.5,22505.67,22502.84,22503.25,9634
2026-06-29 09:53:00,22503.25,22504.01,22502.53,22503.9,2782
2026-06-29 09:54:00,22503.9,22504.82,22503.42,22504.56,3150
2026-06-29 09:55:00,22504.56,22505.63,22503.28,22505.2,11838
2026-06-29 09:56:00,22505.2,22506.33,22504.58,22506.09,1422
2026-06-29 09:57:00,22506.09,22506.26,22506.07,22506.23,11718
2026-06-29 09:58:00,22506.23,22507.85,22505.39,22507.18,2053
2026-06-29 09:59:00,22507.18,22509.98,22506.26,22509.23,7498
2026-06-29 10:00:00,22509.23,22510.5,22508.87,22509.88,4508
2026-06-29 10:01:00,22509.88,22510.19,22508.79,22509.0,13794
2026-06-29 10:02:00,22509.0,22510.05,22508.95,22509.4,11039
2026-06-29 10:03:00,22509.4,22510.21,22508.27,22508.53,19564
2026-06-29 10:04:00,22508.53,22508.58,22505.56,22506.45,4312
2026-06-29 10:05:00,22506.45,22506.81,22505.94,22506.6,1147
2026-06-29 10:06:00,22506.6,22508.8,22506.06,22508.29,5989
2026-06-29 10:07:00,22508.29,22509.25,22507.79,22508.71,22669
2026-06-29 10:08:00,22508.71,22509.0,22507.42,22508.18,5304
2026-06-29 10:09:00,22508.18,22508.48,22507.41,22507.44,10268
2026-06-29 10:10:00,22507.44,22508.72,22507.03,22507.82,1255
2026-06-29 10:11:00,22507.82,22511.65,22507.56,22510.99,11145
2026-06-29 10:12:00,22510.99,22511.33,22509.35,22509.64,3476
2026-06-29 10:13:00,22509.64,22510.46,22509.33,22510.39,3880
2026-06-29 10:14:00,22510.39,22512.44,22509.94,22510.97,2231
2026-06-29 10:15:00,22510.97,22512.76,22510.65,22512.01,1103
2026-06-29 10:16:00,22512.01,22512.24,22510.01,22510.71,4862
2026-06-29 10:17:00,22510.71,22513.54,22510.39,22511.95,11850
2026-06-29 10:18:00,22511.95,22514.4,22511.69,22513.53,7365
2026-06-29 10:19:00,22513.53,22514.2,22511.4,22511.81,5042
2026-06-29 10:20:00,22511.81,22512.4,22511.18,22512.13,3044
2026-06-29 10:21:00,22512.13,22512.21,22509.9,22510.06,7707
2026-06-29 10:22:00,22510.06,22510.29,22508.88,22509.27,5163
2026-06-29 10:23:00,22509.27,22510.87,22508.46,22510.36,3931
2026-06-29 10:24:00,22510.36,22512.17,22510.32,22511.77,5997
2026-06-29 10:25:00,22511.77,22513.61,22511.67,22513.38,6589
